time;t_mean;t_min;t_max;GlobR;hpa;rainfall;lon;lat;PH2O_kpa;radiation;PAR;esa;vpd;rh;Precsum_a;lamposumma_v;wind_speed;aika;vuosi;kk;paiva;longitude;latitude
2011-08-07;15.1;11.2;19.9;13144.0;12.55;2.5;3445000;7215000;1.2550000000000001;13144.0;76.06481481481481;1.7150528575392223;0.4600528575392222;73.1755872411238;383.0000000000001;929.2;2.0;20110807;2011;8;7;3445462.033463862;7214079.106267728
2011-08-08;12.5;11.1;17.2;4389.0;13.56;16.2;3445000;7215000;1.356;4389.0;25.399305555555557;1.4484035177490302;0.0924035177490301;93.6203194333141;399.2000000000001;936.7;2.0;20110808;2011;8;8;3445462.033463862;7214079.106267728
2011-08-09;14.8;11.8;20.1;12636.0;14.74;3.6;3445000;7215000;1.4740000000000002;12636.0;73.125;1.6822288283036793;0.20822882830367906;87.62184877584983;402.8000000000001;946.5;2.0;20110809;2011;8;9;3445462.033463862;7214079.106267728
2011-08-10;13.0;10.6;15.3;8236.0;12.94;2.7;3445000;7215000;1.294;8236.0;47.66203703703704;1.4966428718608684;0.20264287186086838;86.46017191737198;405.5000000000001;954.5;2.0;20110810;2011;8;10;3445462.033463862;7214079.106267728
2011-08-11;11.3;10.3;13.7;8121.0;11.88;0.6;3445000;7215000;1.1880000000000002;8121.0;46.99652777777778;1.3381754831564792;0.150175483156479;88.77759419099159;406.10000000000014;960.8;2.0;20110811;2011;8;11;3445462.033463862;7214079.106267728
2011-08-12;11.6;6.7;15.8;17085.0;10.5;1.4;3445000;7215000;1.05;17085.0;98.87152777777777;1.3650152856375866;0.3150152856375865;76.92221552739274;407.5000000000001;967.4;2.0;20110812;2011;8;12;3445462.033463862;7214079.106267728
2011-08-13;12.5;5.2;18.4;17970.0;10.32;0.0;3445000;7215000;1.032;17970.0;103.99305555555556;1.4484035177490302;0.41640351774903017;71.25086257756647;407.5000000000001;974.9;2.0;20110813;2011;8;13;3445462.033463862;7214079.106267728
2011-08-14;15.4;6.7;21.6;20793.0;10.35;0.0;3445000;7215000;1.035;20793.0;120.32986111111111;1.7484390527773501;0.7134390527773502;59.195657884438646;407.5000000000001;985.3;2.0;20110814;2011;8;14;3445462.033463862;7214079.106267728
2011-08-15;16.4;10.4;20.9;18598.0;11.31;0.0;3445000;7215000;1.131;18598.0;107.62731481481481;1.8638924853252323;0.7328924853252323;60.67946562929839;407.5000000000001;996.6999999999999;2.0;20110815;2011;8;15;3445462.033463862;7214079.106267728
2011-08-16;17.4;13.0;21.9;15773.0;12.29;0.0;3445000;7215000;1.229;15773.0;91.27893518518519;1.9859958437774827;0.7569958437774826;61.88331178288715;407.5000000000001;1009.0999999999999;2.0;20110816;2011;8;16;3445462.033463862;7214079.106267728
2011-08-17;14.8;13.2;18.4;4776.0;13.34;1.1;3445000;7215000;1.334;4776.0;27.63888888888889;1.6822288283036793;0.3482288283036792;79.29955649049094;408.60000000000014;1018.8999999999999;2.0;20110817;2011;8;17;3445462.033463862;7214079.106267728
2011-08-18;13.6;12.2;15.8;3029.0;13.45;9.5;3445000;7215000;1.345;3029.0000000000005;17.528935185185187;1.5563936921575303;0.21139369215753034;86.41772366318907;418.10000000000014;1027.4999999999998;2.0;20110818;2011;8;18;3445462.033463862;7214079.106267728
